City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Moresby,PG,85.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
8,Hobyo,SO,83.79,light rain,5.3505,48.5268,Iftin hotel hobyo
15,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
30,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
31,Rikitea,PF,76.46,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Atuona,PF,78.22,light rain,-9.8,-139.0333,Villa Enata
38,Ahmadnagar,IN,80.01,clear sky,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
45,Sorong,ID,84.69,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
51,Banjar,ID,87.33,overcast clouds,-8.19,114.9675,The Hamsa Resort
53,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
54,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
55,Bilma,NE,88.95,clear sky,18.6853,12.9164,Expeditions Ténére voyages
58,Cabo San Lucas,MX,77.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
73,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
75,Dingle,PH,86.92,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
79,Juye,CN,77.7,clear sky,35.3947,116.0883,Thank Inn Chain Hotel shandong heze juye county shanghai jiayuan
83,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
93,Bandarbeyla,SO,82.63,scattered clouds,9.4942,50.8122,JABIR HOTEL
101,Arraial Do Cabo,BR,75.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
102,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
104,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
121,Batticaloa,LK,82.85,broken clouds,7.7102,81.6924,Grand Star Guest House
125,Jaitaran,IN,85.66,broken clouds,26.2031,73.9364,"Sheetal Bhoomi Seervi Resort, Bhakarwas"
